pr_number,repo,commit,duration
4294,accumulo,0e162280db6a78626bc9e6a1773353630ebb74b2,0:08:28.405452
4292,accumulo,00bac7ae5633147502ce57b28532942323f05030,0:10:19.072493
4292,accumulo,ae77fd93e08dad484e98aec22fea692629984547,0:10:17.617702
4291,accumulo,5d8d9cd57ffcfdab21f42fb4b4a9dfa36a16cd26,0:08:40.338982
4291,accumulo,01e600cc311a059936c3f75356151551560161d1,0:07:28.318265
4290,accumulo,5d8d9cd57ffcfdab21f42fb4b4a9dfa36a16cd26,0:07:33.086655
4290,accumulo,b07e38faf0695da108f9ccc64eb2a9958cec164e,0:06:52.588257
4288,accumulo,f9751eb80c5fa1b03b043c8480efc93a2060b979,0:08:06.030430
4288,accumulo,cd8f33d364aa2486dde163aab8e2959f6ee8c2b9,0:07:59.359807
4287,accumulo,5d12597b4dedb60524775d0411405bafc3ee86ce,0:08:22.504716
4287,accumulo,6016190f217071d101dd6327de8710f305e23889,0:07:25.967609
4287,accumulo,6c972dafbba1d4a547ff8d5e5d4550b284cc4409,0:07:52.975230
4287,accumulo,535104cccd9f7e40658a36e2e1132b2706f4377e,0:07:51.752210
4285,accumulo,448afc8a9d5cc36b188baf554eb02142dd622e2e,0:07:52.179114
4285,accumulo,3080c373ff78a933fb80cb0cd4f611ee64ba49ff,0:08:01.805864
4285,accumulo,b48f8d28f0b94bd1ad2c25cf3c8d82687681ccff,0:07:19.042495
4285,accumulo,4bf003ef9749aecccd22de2e1694fff2dcfcfd27,0:07:44.820503
4284,accumulo,448afc8a9d5cc36b188baf554eb02142dd622e2e,0:08:10.831809
4284,accumulo,e4789df986261a2254e841bbd935dc246d09d7ed,0:08:15.057279
4282,accumulo,f28b55dc254051fea8a3666628fee9868f800a5d,0:10:30.443310
4282,accumulo,8f1f4263236d8f00d2078bebe9573eaeafaac9ce,0:10:33.488637
4282,accumulo,ebd560498941c7f0ca857166d49ae5afd0bd350e,0:09:51.319296
4280,accumulo,3de72f63c434b977af43b7536d11e35123aa9347,0:07:58.747047
4280,accumulo,551e08a4d0f6bb1c4d66453aca1a30f3b4a9c137,0:07:44.456000
4279,accumulo,da7b3b005e13276c202b4f337496f9ecf2c039e5,0:07:50.257784
4279,accumulo,59785cd5122c4cb324354141149e7543190d4f60,0:07:55.304093
4279,accumulo,db57394b05af2d7e483507a514f7e2bd164c0fc3,0:08:37.484317
4278,accumulo,da7b3b005e13276c202b4f337496f9ecf2c039e5,0:08:48.144748
4278,accumulo,d7cd9c0ea74f40123c6dece20ec1ee3bb227ef2d,0:08:03.221781
4278,accumulo,9445bb30800955be9eef51eb86009964f2a4674f,0:08:34.213727
4272,accumulo,da7b3b005e13276c202b4f337496f9ecf2c039e5,0:08:35.419461
